,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hilo,19.73,-155.09,73.4,73.0,90.0,4.7,US,06/30/20
1,port lincoln,-34.73,135.87,55.06,85.0,0.0,14.03,AU,06/30/20
2,bredasdorp,-34.53,20.04,62.6,72.0,14.0,9.17,ZA,06/30/20
3,barra do garcas,-15.89,-52.26,83.93,36.0,46.0,8.57,BR,06/30/20
4,ushuaia,-54.8,-68.3,28.4,79.0,40.0,4.7,AR,06/30/20
5,hobart,-42.88,147.33,42.01,93.0,93.0,3.36,AU,06/30/20
6,esperance,-33.87,121.9,55.4,76.0,75.0,31.09,AU,06/30/20
7,mataura,-46.19,168.86,39.0,83.0,36.0,3.0,NZ,06/30/20
8,busselton,-33.65,115.33,54.0,61.0,74.0,15.93,AU,06/30/20
9,honningsvag,70.98,25.97,42.8,81.0,75.0,20.8,NO,06/30/20
10,dikson,73.51,80.55,49.1,71.0,90.0,8.08,RU,06/30/20
11,cabinda,-5.55,12.2,78.8,69.0,40.0,8.05,AO,06/30/20
12,hermanus,-34.42,19.23,66.99,68.0,3.0,4.27,ZA,06/30/20
13,albany,42.6,-73.97,73.4,69.0,75.0,5.82,US,06/30/20
14,roma,43.21,-75.46,75.2,64.0,90.0,9.17,US,06/30/20
15,punta arenas,-53.15,-70.92,28.4,92.0,90.0,1.12,CL,06/30/20
16,choma,-16.81,26.95,69.91,31.0,0.0,9.01,ZM,06/30/20
17,palmer,42.16,-72.33,71.01,88.0,75.0,5.82,US,06/30/20
18,luangwa,-15.62,30.42,79.57,33.0,0.0,7.27,ZM,06/30/20
19,east london,-33.02,27.91,62.6,72.0,20.0,10.29,ZA,06/30/20
20,rikitea,-23.12,-134.97,68.7,62.0,12.0,17.74,PF,06/30/20
21,kudahuvadhoo,2.67,72.89,84.47,70.0,18.0,4.07,MV,06/30/20
22,churachandpur,24.33,93.67,70.81,96.0,100.0,2.3,IN,06/30/20
23,pevek,69.7,170.31,34.32,96.0,98.0,5.88,RU,06/30/20
24,domna,51.9,113.16,59.0,93.0,70.0,2.24,RU,06/30/20
25,qaanaaq,77.48,-69.36,39.83,78.0,98.0,1.54,GL,06/30/20
26,puerto ayora,-0.74,-90.35,73.4,78.0,75.0,12.75,EC,06/30/20
27,saskylakh,71.92,114.08,82.04,36.0,0.0,7.4,RU,06/30/20
28,vanimo,-2.67,141.3,78.93,77.0,67.0,2.57,PG,06/30/20
29,ponta do sol,32.67,-17.1,73.4,69.0,40.0,16.11,PT,06/30/20
30,cape town,-33.93,18.42,66.2,63.0,1.0,5.82,ZA,06/30/20
31,clyde river,70.47,-68.59,35.6,93.0,75.0,12.75,CA,06/30/20
32,husavik,66.04,-17.34,57.2,50.0,1.0,9.17,IS,06/30/20
33,san cristobal,7.77,-72.22,91.4,33.0,20.0,13.87,VE,06/30/20
34,kupang,-10.17,123.58,75.25,78.0,25.0,10.92,ID,06/30/20
